customer_city,order_id,payment_value
imperatriz,40,9144.78
nova serrana,51,9143.59
juazeiro,44,8973.25
apucarana,52,8810.9
camacari,61,8799.87
boituva,50,8749.52
aruja,69,8722.18
itapira,55,8671.44
francisco beltrao,52,8639.1
paranavai,47,8625.3
juazeiro do norte,34,8586.07
campo mourao,56,8579.69
sinop,46,8555.82
colatina,65,8552.71
tres lagoas,42,8547.88
ibirite,50,8536.72
bento goncalves,56,8481.21
matao,52,8449.77
itaborai,60,8432.210000000001
ouro preto,57,8429.14
trindade,28,8413.61
fernandopolis,53,8409.22
ponte nova,41,8306.49
joao monlevade,51,8264.99
viamao,73,8210.92
varzea grande,42,8209.75
vespasiano,45,8180.67
cubatao,79,8171.42
patrocinio,47,8168.94
tres rios,40,8153.95
itaperuna,47,8081.54
unai,54,8064.51
sertaozinho,62,8003.77
para de minas,37,7994.59
registro,50,7979.69
paulo afonso,40,7976.52
eunapolis,38,7916.78
erechim,58,7883.78
jaboticabal,54,7874.53
peruibe,44,7865.63
pirapora,42,7842.16
lencois paulista,45,7820.7
itapeva,58,7792.16
sao mateus,48,7785.35
jacobina,24,7766.099999999999
cosmopolis,52,7751.95
uba,53,7733.99
arapongas,35,7663.43
andradina,43,7653.47
paulista,42,7602.08
itaguai,48,7537.0
tupa,53,7519.8
paracambi,35,7516.2300000000005
navegantes,31,7500.85
esteio,41,7466.14
cruzeiro,56,7458.77
alagoinhas,40,7428.33
queimados,54,7380.4
santarem,44,7272.65
sao miguel do oeste,40,7241.39
concordia,50,7240.19
itapema,44,7233.42
osorio,35,7225.75
cachoeira do sul,32,7223.41
mococa,34,7108.56
primavera do leste,28,7092.91
caucaia,35,7092.72
embu-guacu,46,7062.82
guaxupe,37,6967.0
rolandia,27,6955.900000000001
curvelo,44,6946.28
artur nogueira,43,6882.04
ijui,52,6870.15
sapucaia do sul,40,6868.66
ituiutaba,56,6867.95
maracanau,35,6668.2300000000005
olimpia,38,6642.18
umuarama,41,6638.01
lucas do rio verde,24,6627.8099999999995
barra do pirai,54,6619.0199999999995
balsas,17,6607.7300000000005
vargem grande paulista,44,6595.93
santo angelo,46,6578.63
mossoro,37,6573.53
itumbiara,36,6570.67
mafra,28,6551.24
alfenas,43,6539.45
taio,15,6475.8
catalao,34,6440.92
extrema,44,6436.51
valparaiso de goias,37,6424.51
arraial do cabo,29,6409.3099999999995
altamira,25,6399.82
mirassol,29,6383.33
itabirito,32,6373.71
itupeva,44,6323.22
araucaria,54,6255.87
mongagua,42,6232.17
caldas novas,36,6204.57
gurupi,24,6192.18
sao bento do sul,45,6189.45
batatais,28,6158.21
adamantina,36,6154.09
santo antonio de padua,32,6152.7300000000005
bebedouro,51,6141.75
guaiba,31,6139.13
formosa,34,6124.12
jequie,36,6037.84
uniao da vitoria,29,6037.75
guanambi,38,6012.54
arcos,25,5989.36
sao jose do rio pardo,44,5971.05
tucurui,17,5931.75
campo novo do parecis,16,5915.780000000001
santa barbara,26,5889.97
saquarema,47,5878.12
pedro leopoldo,40,5875.05
campo limpo paulista,48,5841.24
mandaguari,18,5829.06
bom despacho,39,5724.88
sao pedro da aldeia,46,5712.97
uruguaiana,48,5712.59
rio do sul,35,5695.14
cianorte,39,5691.55
salinas,22,5691.16
japeri,34,5682.83
corumba,28,5671.02
caceres,25,5668.5599999999995
montenegro,32,5643.51
capao da canoa,38,5634.34
parauapebas,27,5634.15
sao sebastiao do paraiso,36,5628.889999999999
tres coracoes,43,5628.39
louveira,44,5615.7300000000005
armacao dos buzios,29,5612.87
luziania,33,5608.51
santo antonio da patrulha,17,5603.12
penapolis,37,5549.28
telemaco borba,35,5483.41
cacador,40,5469.62
tremembe,38,5462.7
garanhuns,31,5436.33
piraju,19,5430.97
juina,17,5417.13
guaira,43,5402.83
capivari,35,5396.48
